loan_id,product,origination_month,loan_amount,annual_rate_pct,status,default_month_on_book,months_observed
190,Short-Term,1,1675.85,36.0,current,,23
191,Short-Term,1,1610.51,36.0,defaulted,13.5,23
192,Short-Term,1,1521.74,36.0,current,,23
193,Short-Term,1,1683.75,36.0,defaulted,15.5,23
194,Short-Term,1,1235.05,36.0,current,,23
195,Short-Term,1,1804.05,36.0,current,,23
196,Short-Term,1,1712.03,36.0,current,,23
197,Short-Term,1,1428.16,36.0,current,,23
198,Short-Term,1,1828.21,36.0,current,,23
199,Short-Term,1,1708.47,36.0,defaulted,0.5,23
200,Short-Term,1,1831.81,36.0,current,,23
201,Short-Term,1,981.41,36.0,current,,23
202,Short-Term,1,566.55,36.0,defaulted,5.5,23
203,Short-Term,1,1386.05,36.0,current,,23
204,Short-Term,1,1935.69,36.0,current,,23
205,Short-Term,1,1472.34,36.0,current,,23
206,Short-Term,1,1460.77,36.0,current,,23
207,Short-Term,1,1536.85,36.0,current,,23
208,Short-Term,1,1262.24,36.0,current,,23
209,Short-Term,1,1144.75,36.0,current,,23
210,Short-Term,1,1821.43,36.0,current,,23
211,Short-Term,1,947.13,36.0,defaulted,4.0,23
212,Short-Term,1,1689.88,36.0,current,,23
213,Short-Term,1,767.64,36.0,current,,23
214,Short-Term,1,1258.0,36.0,current,,23
215,Short-Term,1,1072.1,36.0,current,,23
216,Short-Term,1,1671.16,36.0,current,,23
217,Short-Term,1,1631.46,36.0,current,,23
218,Short-Term,1,2028.26,36.0,current,,23
219,Short-Term,1,909.26,36.0,current,,23
220,Short-Term,1,1367.4,36.0,current,,23
221,Short-Term,1,1653.35,36.0,current,,23
222,Short-Term,1,1639.51,36.0,current,,23
223,Short-Term,1,2330.79,36.0,current,,23
224,Short-Term,1,1564.08,36.0,current,,23
225,Short-Term,1,1161.74,36.0,current,,23
226,Short-Term,1,1489.65,36.0,current,,23
227,Short-Term,1,1166.65,36.0,current,,23
228,Short-Term,1,670.81,36.0,current,,23
229,Short-Term,1,1316.53,36.0,current,,23
230,Short-Term,1,2274.89,36.0,current,,23
231,Short-Term,1,1115.16,36.0,current,,23
232,Short-Term,1,1337.17,36.0,current,,23
233,Short-Term,1,1574.13,36.0,current,,23
234,Short-Term,1,1364.3,36.0,current,,23
235,Short-Term,1,1043.22,36.0,current,,23
236,Short-Term,1,2539.07,36.0,current,,23
237,Short-Term,1,2073.29,36.0,current,,23
238,Short-Term,1,1732.31,36.0,current,,23
239,Short-Term,1,1431.84,36.0,current,,23
240,Short-Term,1,1672.12,36.0,current,,23
241,Short-Term,1,1766.23,36.0,current,,23
242,Short-Term,1,1646.61,36.0,current,,23
243,Short-Term,1,1681.59,36.0,current,,23
244,Short-Term,1,1874.22,36.0,current,,23
245,Short-Term,1,1365.76,36.0,current,,23
246,Short-Term,1,901.98,36.0,current,,23
247,Short-Term,1,1858.07,36.0,current,,23
248,Short-Term,1,899.0,36.0,current,,23
249,Short-Term,1,1282.6,36.0,current,,23
250,Short-Term,1,1673.95,36.0,current,,23
251,Short-Term,1,1686.03,36.0,current,,23
252,Short-Term,1,1381.07,36.0,current,,23
253,Short-Term,1,1465.56,36.0,current,,23
254,Short-Term,1,1637.86,36.0,current,,23
255,Short-Term,1,1224.65,36.0,current,,23
256,Short-Term,1,2151.57,36.0,current,,23
257,Short-Term,1,1144.92,36.0,current,,23
258,Short-Term,1,1423.46,36.0,current,,23
259,Short-Term,1,1322.99,36.0,defaulted,5.0,23
260,Short-Term,1,1603.29,36.0,current,,23
261,Short-Term,1,1355.29,36.0,current,,23
262,Short-Term,1,1320.57,36.0,defaulted,1.5,23
263,Short-Term,1,1754.99,36.0,current,,23
264,Short-Term,1,1959.13,36.0,current,,23
265,Short-Term,1,1185.37,36.0,current,,23
266,Short-Term,1,1169.51,36.0,current,,23
267,Short-Term,1,1428.31,36.0,current,,23
268,Short-Term,1,1436.33,36.0,defaulted,2.5,23
269,Short-Term,1,1782.74,36.0,current,,23
270,Short-Term,1,1654.02,36.0,current,,23
271,Short-Term,1,1618.57,36.0,current,,23
272,Short-Term,1,1465.16,36.0,current,,23
273,Short-Term,1,1198.59,36.0,current,,23
274,Short-Term,1,1002.21,36.0,current,,23
275,Short-Term,1,1294.49,36.0,defaulted,2.5,23
276,Short-Term,1,1633.72,36.0,current,,23
277,Short-Term,1,1193.79,36.0,current,,23
278,Short-Term,1,1795.77,36.0,defaulted,7.5,23
279,Short-Term,1,1719.37,36.0,current,,23
280,Short-Term,1,920.75,36.0,defaulted,2.0,23
281,Short-Term,1,1140.12,36.0,current,,23
282,Short-Term,1,918.07,36.0,current,,23
283,Short-Term,1,1999.18,36.0,current,,23
284,Short-Term,1,1645.38,36.0,current,,23
285,Short-Term,1,1037.46,36.0,current,,23
286,Short-Term,1,1071.15,36.0,defaulted,5.0,23
287,Short-Term,1,1029.35,36.0,current,,23
288,Short-Term,1,1594.18,36.0,current,,23
289,Short-Term,1,1011.05,36.0,current,,23
290,Short-Term,1,2228.52,36.0,current,,23
291,Short-Term,1,1330.43,36.0,current,,23
292,Short-Term,1,987.57,36.0,current,,23
293,Short-Term,1,1291.76,36.0,current,,23
294,Short-Term,1,1596.66,36.0,current,,23
295,Short-Term,1,1706.16,36.0,current,,23
296,Short-Term,1,2009.78,36.0,current,,23
297,Short-Term,1,1245.35,36.0,current,,23
298,Short-Term,1,1805.17,36.0,defaulted,2.5,23
299,Short-Term,1,1715.21,36.0,defaulted,4.5,23
300,Short-Term,1,930.51,36.0,current,,23
301,Short-Term,1,1177.36,36.0,current,,23
302,Short-Term,1,1785.53,36.0,defaulted,1.5,23
303,Short-Term,1,2080.47,36.0,current,,23
304,Short-Term,1,1512.84,36.0,current,,23
305,Short-Term,1,1252.13,36.0,defaulted,2.5,23
306,Short-Term,1,1335.34,36.0,current,,23
307,Short-Term,1,1083.77,36.0,current,,23
308,Short-Term,1,2144.37,36.0,current,,23
309,Short-Term,1,1337.89,36.0,current,,23
310,Short-Term,1,1375.81,36.0,current,,23
311,Short-Term,1,1424.03,36.0,current,,23
312,Short-Term,1,1731.82,36.0,current,,23
313,Short-Term,1,902.24,36.0,current,,23
314,Short-Term,1,2321.07,36.0,current,,23
315,Short-Term,1,1365.07,36.0,current,,23
316,Short-Term,1,1746.1,36.0,current,,23
317,Short-Term,1,991.69,36.0,current,,23
318,Short-Term,1,1565.76,36.0,current,,23
319,Short-Term,1,2239.13,36.0,current,,23
320,Short-Term,1,2167.16,36.0,defaulted,1.5,23
321,Short-Term,1,1627.76,36.0,current,,23
322,Short-Term,1,1570.96,36.0,current,,23
323,Short-Term,1,1370.48,36.0,current,,23
324,Short-Term,1,1492.97,36.0,current,,23
325,Short-Term,1,1363.06,36.0,current,,23
326,Short-Term,1,817.74,36.0,current,,23
327,Short-Term,1,1692.83,36.0,current,,23
328,Short-Term,1,474.1,36.0,current,,23
329,Short-Term,1,1608.95,36.0,current,,23
330,Short-Term,1,973.27,36.0,current,,23
331,Short-Term,1,1639.74,36.0,current,,23
332,Short-Term,1,1654.04,36.0,current,,23
333,Short-Term,1,1655.08,36.0,current,,23
334,Short-Term,1,1826.71,36.0,current,,23
335,Short-Term,1,2000.69,36.0,current,,23
336,Short-Term,1,1325.84,36.0,current,,23
337,Short-Term,1,1816.32,36.0,defaulted,4.0,23
338,Short-Term,1,1330.09,36.0,current,,23
339,Short-Term,1,1401.7,36.0,defaulted,8.5,23
340,Short-Term,1,1169.32,36.0,defaulted,2.0,23
341,Short-Term,1,1114.54,36.0,current,,23
342,Short-Term,1,1419.56,36.0,current,,23
343,Short-Term,1,1401.98,36.0,defaulted,2.5,23
344,Short-Term,1,1919.67,36.0,current,,23
345,Short-Term,1,1135.77,36.0,current,,23
346,Short-Term,1,1411.39,36.0,current,,23
347,Short-Term,1,1494.54,36.0,defaulted,6.0,23
348,Short-Term,1,1495.17,36.0,current,,23
349,Short-Term,1,1013.64,36.0,current,,23
350,Short-Term,1,1774.3,36.0,current,,23
351,Short-Term,1,1091.09,36.0,current,,23
352,Short-Term,1,1951.21,36.0,current,,23
353,Short-Term,1,901.34,36.0,current,,23
354,Short-Term,1,2084.47,36.0,current,,23
355,Short-Term,1,1806.93,36.0,defaulted,3.0,23
356,Short-Term,1,1679.13,36.0,current,,23
357,Short-Term,1,1719.5,36.0,current,,23
358,Short-Term,1,1611.26,36.0,defaulted,1.5,23
359,Short-Term,1,1822.8,36.0,defaulted,4.0,23
360,Short-Term,1,1900.7,36.0,current,,23
361,Short-Term,1,1091.75,36.0,current,,23
362,Short-Term,1,1539.61,36.0,current,,23
363,Short-Term,1,2219.04,36.0,current,,23
364,Short-Term,1,1351.31,36.0,current,,23
365,Short-Term,1,1504.58,36.0,current,,23
366,Short-Term,1,1093.97,36.0,current,,23
367,Short-Term,1,2214.07,36.0,current,,23
368,Short-Term,1,1131.66,36.0,current,,23
369,Short-Term,1,1755.85,36.0,current,,23
370,Short-Term,1,1999.87,36.0,current,,23
371,Short-Term,1,1796.01,36.0,defaulted,0.5,23
372,Short-Term,1,786.56,36.0,defaulted,1.5,23
373,Short-Term,1,988.06,36.0,current,,23
374,Short-Term,1,2191.6,36.0,current,,23
375,Short-Term,1,1602.09,36.0,current,,23
376,Short-Term,1,1504.82,36.0,current,,23
377,Short-Term,1,1062.61,36.0,current,,23
378,Short-Term,1,1524.15,36.0,current,,23
379,Short-Term,1,1479.52,36.0,defaulted,12.0,23
380,Short-Term,1,1857.69,36.0,current,,23
381,Short-Term,1,1599.51,36.0,current,,23
382,Short-Term,1,1418.83,36.0,current,,23
383,Short-Term,1,1439.58,36.0,defaulted,4.0,23
384,Short-Term,1,1704.49,36.0,current,,23
385,Short-Term,1,785.32,36.0,defaulted,4.0,23
386,Short-Term,1,1923.69,36.0,current,,23
387,Short-Term,1,1515.57,36.0,current,,23
388,Short-Term,1,1066.52,36.0,current,,23
389,Short-Term,1,1651.71,36.0,current,,23
390,Short-Term,1,1939.99,36.0,current,,23
391,Short-Term,1,1002.32,36.0,current,,23
392,Short-Term,1,1586.89,36.0,defaulted,5.5,23
393,Short-Term,1,1601.15,36.0,current,,23
394,Short-Term,1,1248.77,36.0,current,,23
395,Short-Term,1,1339.2,36.0,current,,23
396,Short-Term,1,1609.28,36.0,current,,23
397,Short-Term,1,1307.5,36.0,current,,23
398,Short-Term,1,1035.17,36.0,current,,23
399,Short-Term,1,755.26,36.0,current,,23
400,Short-Term,1,1512.37,36.0,current,,23
401,Short-Term,1,1985.68,36.0,current,,23
402,Short-Term,1,1658.37,36.0,current,,23
403,Short-Term,1,1048.89,36.0,current,,23
404,Short-Term,1,1198.84,36.0,current,,23
405,Short-Term,1,1369.5,36.0,current,,23
406,Short-Term,1,2234.95,36.0,defaulted,10.0,23
407,Short-Term,1,1514.23,36.0,current,,23
408,Short-Term,1,1462.68,36.0,current,,23
409,Short-Term,1,1646.19,36.0,current,,23
410,Short-Term,1,1840.51,36.0,current,,23
411,Short-Term,1,1887.6,36.0,current,,23
412,Short-Term,1,1304.1,36.0,current,,23
413,Short-Term,1,1512.43,36.0,current,,23
414,Short-Term,1,1505.59,36.0,current,,23
415,Short-Term,1,1669.99,36.0,current,,23
416,Short-Term,1,1766.63,36.0,current,,23
417,Short-Term,1,923.08,36.0,current,,23
418,Short-Term,1,1533.59,36.0,current,,23
419,Short-Term,1,1832.41,36.0,current,,23
420,Short-Term,1,1337.22,36.0,current,,23
421,Short-Term,1,1481.37,36.0,defaulted,3.0,23
422,Short-Term,1,1789.71,36.0,current,,23
423,Short-Term,1,743.22,36.0,defaulted,2.0,23
424,Short-Term,1,1411.61,36.0,current,,23
425,Short-Term,1,1488.81,36.0,current,,23
426,Short-Term,1,1879.06,36.0,current,,23
427,Short-Term,1,1031.21,36.0,defaulted,1.0,23
428,Short-Term,1,1997.98,36.0,current,,23
429,Short-Term,1,499.32,36.0,current,,23
430,Short-Term,1,1166.79,36.0,current,,23
431,Short-Term,1,1336.64,36.0,current,,23
432,Short-Term,1,1375.3,36.0,current,,23
433,Short-Term,1,1229.59,36.0,current,,23
434,Short-Term,1,1691.55,36.0,current,,23
435,Short-Term,1,1655.88,36.0,current,,23
436,Short-Term,1,1441.02,36.0,current,,23
437,Short-Term,1,1251.12,36.0,current,,23
438,Short-Term,1,1409.83,36.0,defaulted,2.0,23
439,Short-Term,1,1069.5,36.0,current,,23
440,Short-Term,1,1658.81,36.0,current,,23
441,Short-Term,1,1251.13,36.0,current,,23
442,Short-Term,1,1963.0,36.0,current,,23
443,Short-Term,1,1114.83,36.0,current,,23
444,Short-Term,1,2045.37,36.0,current,,23
445,Short-Term,1,1372.84,36.0,current,,23
446,Short-Term,1,1547.69,36.0,current,,23
447,Short-Term,1,1433.54,36.0,current,,23
448,Short-Term,1,1432.11,36.0,current,,23
449,Short-Term,1,1407.09,36.0,current,,23
450,Short-Term,1,1502.41,36.0,current,,23
451,Short-Term,1,1966.12,36.0,current,,23
452,Short-Term,1,1623.85,36.0,current,,23
453,Short-Term,1,1039.65,36.0,current,,23
454,Short-Term,1,1876.12,36.0,defaulted,7.0,23
455,Short-Term,1,1854.56,36.0,current,,23
456,Short-Term,1,1980.12,36.0,current,,23
457,Short-Term,1,1357.72,36.0,current,,23
458,Short-Term,1,327.76,36.0,current,,23
459,Short-Term,1,200.0,36.0,current,,23
460,Short-Term,1,1680.71,36.0,current,,23
461,Short-Term,1,1035.03,36.0,defaulted,2.5,23
462,Short-Term,1,1306.39,36.0,current,,23
463,Short-Term,1,1499.23,36.0,current,,23
464,Short-Term,1,2146.75,36.0,current,,23
465,Short-Term,1,1099.06,36.0,current,,23
466,Short-Term,1,1485.76,36.0,current,,23
467,Short-Term,1,1397.67,36.0,defaulted,3.0,23
468,Short-Term,1,1513.84,36.0,current,,23
469,Short-Term,1,1457.53,36.0,current,,23
470,Short-Term,1,1746.73,36.0,current,,23
471,Short-Term,1,1083.36,36.0,current,,23
472,Short-Term,1,1335.07,36.0,current,,23
473,Short-Term,1,1677.53,36.0,current,,23
474,Short-Term,1,887.71,36.0,current,,23
475,Short-Term,1,1794.23,36.0,current,,23
476,Short-Term,1,1752.79,36.0,current,,23
477,Short-Term,1,1632.42,36.0,current,,23
478,Short-Term,1,1741.72,36.0,current,,23
479,Short-Term,1,1306.88,36.0,current,,23
480,Short-Term,1,2091.71,36.0,current,,23
481,Short-Term,1,2025.92,36.0,current,,23
482,Short-Term,1,1641.09,36.0,current,,23
483,Short-Term,1,1548.47,36.0,current,,23
484,Short-Term,1,1829.5,36.0,current,,23
485,Short-Term,1,1208.29,36.0,current,,23
486,Short-Term,1,1753.56,36.0,current,,23
487,Short-Term,1,1636.08,36.0,current,,23
488,Short-Term,1,1350.06,36.0,current,,23
489,Short-Term,1,1651.54,36.0,current,,23
490,Short-Term,1,2076.92,36.0,current,,23
491,Short-Term,1,837.96,36.0,current,,23
492,Short-Term,1,1091.58,36.0,current,,23
493,Short-Term,1,1390.46,36.0,current,,23
494,Short-Term,1,1747.88,36.0,current,,23
495,Short-Term,1,1626.42,36.0,current,,23
496,Short-Term,1,1746.45,36.0,current,,23
497,Short-Term,1,1354.22,36.0,current,,23
498,Short-Term,1,1514.42,36.0,current,,23
499,Short-Term,1,1918.21,36.0,current,,23
500,Short-Term,1,1581.11,36.0,current,,23
501,Short-Term,1,1694.06,36.0,current,,23
502,Short-Term,1,1499.44,36.0,current,,23
503,Short-Term,1,1276.89,36.0,current,,23
504,Short-Term,1,1770.96,36.0,current,,23
505,Short-Term,1,1889.56,36.0,current,,23
506,Short-Term,1,1540.77,36.0,current,,23
507,Short-Term,1,1156.32,36.0,current,,23
508,Short-Term,1,1717.04,36.0,current,,23
509,Short-Term,1,1675.0,36.0,current,,23
510,Short-Term,1,1418.37,36.0,current,,23
511,Short-Term,1,2478.05,36.0,current,,23
512,Short-Term,1,2088.81,36.0,current,,23
513,Short-Term,1,1664.47,36.0,current,,23
514,Short-Term,1,1677.89,36.0,current,,23
515,Short-Term,1,2081.62,36.0,current,,23
516,Short-Term,1,1952.89,36.0,current,,23
517,Short-Term,1,1475.9,36.0,current,,23
518,Short-Term,1,1682.01,36.0,current,,23
519,Short-Term,1,1469.06,36.0,current,,23
520,Short-Term,1,1054.15,36.0,current,,23
521,Short-Term,1,862.88,36.0,current,,23
522,Short-Term,1,1590.71,36.0,current,,23
523,Short-Term,1,2623.68,36.0,current,,23
524,Short-Term,1,2074.12,36.0,defaulted,1.0,23
525,Short-Term,1,1673.04,36.0,current,,23
526,Short-Term,1,1544.16,36.0,current,,23
527,Short-Term,1,940.76,36.0,current,,23
528,Short-Term,1,1761.3,36.0,current,,23
529,Short-Term,1,1261.56,36.0,current,,23
530,Short-Term,1,1817.97,36.0,current,,23
531,Short-Term,1,1237.58,36.0,current,,23
532,Short-Term,1,1473.17,36.0,defaulted,4.5,23
533,Short-Term,1,1889.47,36.0,current,,23
534,Short-Term,1,1952.04,36.0,current,,23
535,Short-Term,1,1739.34,36.0,current,,23
536,Short-Term,1,1061.06,36.0,current,,23
537,Short-Term,1,957.67,36.0,current,,23
538,Short-Term,1,2021.43,36.0,current,,23
539,Short-Term,1,2094.96,36.0,current,,23
540,Short-Term,1,1039.1,36.0,current,,23
541,Short-Term,1,1540.81,36.0,current,,23
542,Short-Term,1,1953.47,36.0,current,,23
543,Short-Term,1,1640.81,36.0,defaulted,0.5,23
544,Short-Term,1,1501.24,36.0,current,,23
545,Short-Term,1,1405.67,36.0,defaulted,4.0,23
546,Short-Term,1,2208.54,36.0,current,,23
547,Short-Term,1,1402.44,36.0,current,,23
548,Short-Term,1,1142.32,36.0,current,,23
549,Short-Term,1,1225.66,36.0,defaulted,2.5,23
550,Short-Term,1,2015.38,36.0,current,,23
551,Short-Term,1,1514.89,36.0,current,,23
552,Short-Term,1,1501.52,36.0,current,,23
553,Short-Term,1,572.16,36.0,current,,23
554,Short-Term,1,1282.73,36.0,current,,23
555,Short-Term,1,1776.04,36.0,defaulted,1.5,23
556,Short-Term,1,1907.62,36.0,current,,23
557,Short-Term,1,1573.62,36.0,current,,23
558,Short-Term,1,1609.06,36.0,current,,23
559,Short-Term,1,1779.13,36.0,current,,23
560,Short-Term,1,1500.54,36.0,current,,23
561,Short-Term,1,519.65,36.0,current,,23
562,Short-Term,1,1025.17,36.0,current,,23
563,Short-Term,1,1398.16,36.0,current,,23
564,Short-Term,1,1105.94,36.0,current,,23
565,Short-Term,1,2482.97,36.0,current,,23
566,Short-Term,1,1335.3,36.0,defaulted,4.0,23
